iter	MAE
0	69.9384582
1	69.35327151
2	68.78981545
3	68.21731838
4	67.69730578
5	67.22687811
6	66.79999666
7	66.36016203
8	66.01878881
9	65.66629196
10	65.35814099
11	65.11551601
12	64.83209866
13	64.57832327
14	64.34440066
15	64.13029295
16	63.99766953
17	63.83208158
18	63.66996833
19	63.51529876
20	63.37874296
21	63.26478936
22	63.17512885
23	63.06844135
24	62.98747818
25	62.92249615
26	62.85342288
27	62.76319017
28	62.70909345
29	62.65885439
30	62.62873299
31	62.56699989
32	62.51460968
33	62.45297188
34	62.41417225
35	62.3801974
36	62.35791659
37	62.31168513
38	62.28713495
39	62.25745565
40	62.22395662
41	62.18887326
42	62.17190522
43	62.16102752
44	62.14493271
45	62.14179113
46	62.12592289
47	62.0987937
48	62.0775783
49	62.06599539
50	62.05385425
51	62.05302565
52	62.05162655
53	62.04363252
54	62.02520854
55	62.01444634
56	62.00796478
57	61.98666671
58	61.98353465
59	61.9817373
60	61.97316791
61	61.9616148
62	61.95831562
63	61.95321048
64	61.94770985
65	61.94341635
66	61.9428533
67	61.9369574
68	61.92947154
69	61.92378027
70	61.92174731
71	61.91634308
72	61.91231385
73	61.89622758
74	61.89188344
75	61.8918292
76	61.88629766
77	61.88002121
78	61.86618115
79	61.85960989
80	61.85804105
81	61.854572
82	61.85314788
83	61.85075745
84	61.85064113
85	61.84809268
86	61.84517771
87	61.84461884
88	61.84303697
89	61.82972284
90	61.82698438
91	61.82537413
92	61.81919072
93	61.81883488
94	61.81820263
95	61.81677881
96	61.81630645
97	61.81621912
98	61.81302093
99	61.80783266
100	61.80516653
101	61.79672094
102	61.79585275
103	61.79439465
104	61.79035567
105	61.79031831
106	61.78881353
107	61.78690841
108	61.78508128
109	61.78341265
110	61.78026818
111	61.77222423
112	61.77059011
113	61.77041819
114	61.769286
115	61.76729274
116	61.7671683
117	61.76134865
118	61.75731244
119	61.75487647
120	61.75342668
121	61.75193355
122	61.751518
123	61.75137348
124	61.75118569
125	61.75083574
126	61.74758885
127	61.73546509
128	61.73521309
129	61.73358269
130	61.73311731
131	61.73233845
132	61.73157436
133	61.73140725
134	61.72901076
135	61.72875486
136	61.72862595
137	61.72790772
138	61.72757887
139	61.72708356
140	61.72189493
141	61.72151828
142	61.72099394
143	61.7208993
144	61.71998496
145	61.71880244
146	61.71560929
147	61.71436412
148	61.71301562
149	61.71123832
150	61.70884471
151	61.7085199
152	61.70618623
153	61.70267729
154	61.70186401
155	61.69938222
156	61.69897229
157	61.69893166
158	61.69819778
159	61.69744959
160	61.69625612
161	61.69388564
162	61.69313752
163	61.692705
164	61.69238452
165	61.69198032
166	61.69178441
167	61.69135704
168	61.69077739
169	61.69039229
170	61.69007143
171	61.68941772
172	61.68805163
173	61.68754852
174	61.68701431
175	61.68437606
176	61.68414925
177	61.68236951
178	61.68138856
179	61.68077619
180	61.68038252
181	61.67975904
182	61.67854827
183	61.67787139
184	61.67742674
185	61.67584069
186	61.67499734
187	61.67472718
188	61.67404016
189	61.67320284
190	61.67194444
191	61.66783779
192	61.66717753
193	61.66476889
194	61.66376809
195	61.65603915
196	61.6553593
197	61.65307295
198	61.65187963
199	61.65037618
200	61.65021669
201	61.64872082
202	61.64716292
203	61.64318274
204	61.64259968
205	61.64121683
206	61.64092734
207	61.63985998
208	61.63815525
209	61.63754393
210	61.6331559
211	61.63187225
212	61.63060354
213	61.62573892
214	61.62257464
215	61.6210575
216	61.62022382
217	61.61933869
218	61.61896741
219	61.61638033
220	61.61596857
221	61.61577547
222	61.61558787
223	61.6137126
224	61.61351032
225	61.61252606
226	61.61136619
227	61.61033538
228	61.60995169
229	61.60838493
230	61.60757205
231	61.60689858
232	61.60544352
233	61.60537245
234	61.60365422
235	61.60189541
236	61.6003149
237	61.59892356
238	61.59822423
239	61.59776153
240	61.59710691
241	61.59572627
242	61.59514788
243	61.59480755
244	61.59421028
245	61.59303416
246	61.59225363
247	61.59169127
248	61.59071463
249	61.59014326
250	61.58963714
251	61.5892912
252	61.58895484
253	61.58874861
254	61.58840377
255	61.58796321
256	61.58713857
257	61.58631193
258	61.58555567
259	61.58506498
260	61.58457071
261	61.58395177
262	61.58365222
263	61.58303887
264	61.58223876
265	61.58174169
266	61.5809595
267	61.58000243
268	61.57978959
269	61.57969414
270	61.57903051
271	61.57879084
272	61.578649
273	61.57838854
274	61.57821745
275	61.57799966
276	61.57766273
277	61.57699404
278	61.57683926
279	61.57634711
280	61.57606142
281	61.5756325
282	61.57523974
283	61.57469986
284	61.57437714
285	61.5675673
286	61.56735937
287	61.56619107
288	61.56596407
289	61.55920519
290	61.55860038
291	61.55781372
292	61.55756316
293	61.55731584
294	61.55721981
295	61.55714006
296	61.55705616
297	61.55625659
298	61.55590583
299	61.55549251
300	61.55483059
301	61.55415989
302	61.55411419
303	61.55406289
304	61.55391444
305	61.5538832
306	61.5534194
307	61.55338102
308	61.5533047
309	61.55287522
310	61.55211201
311	61.55178838
312	61.55042386
313	61.54920562
314	61.54916663
315	61.54815111
316	61.54808683
317	61.54732281
318	61.54729442
319	61.54681412
320	61.54678041
321	61.54666608
322	61.54655518
323	61.54118012
324	61.54078609
325	61.54076147
326	61.5404219
327	61.54036131
328	61.53524432
329	61.53467407
330	61.53424735
331	61.53417892
332	61.53166023
333	61.53160749
334	61.53145693
335	61.53139214
336	61.53127682
337	61.53053904
338	61.53052078
339	61.52863554
340	61.52847136
341	61.52780015
342	61.52775839
343	61.52673554
344	61.52630642
345	61.52622195
346	61.52618439
347	61.52571939
348	61.52080374
349	61.52059959
350	61.52048978
351	61.519909
352	61.51866245
353	61.51816464
354	61.5178753
355	61.51732376
356	61.51697588
357	61.51665324
358	61.5160324
359	61.5154482
360	61.51537772
361	61.51518452
362	61.51498558
363	61.51402758
364	61.51357452
365	61.51268711
366	61.51222706
367	61.51212634
368	61.51179208
369	61.5114774
370	61.51138827
371	61.51112606
372	61.51071495
373	61.5103271
374	61.50995615
375	61.50787274
376	61.50745232
377	61.50615186
378	61.50590577
379	61.50557592
380	61.50457378
381	61.50412791
382	61.50354046
383	61.5029544
384	61.50284069
385	61.50255595
386	61.50223442
387	61.50170387
388	61.50152884
389	61.5012424
390	61.50115898
391	61.50051699
392	61.50025365
393	61.50017509
394	61.50002421
395	61.49930845
396	61.4990577
397	61.49895807
398	61.49884497
399	61.49859303
