iter	Passed	Remaining
0	27	11134
1	48	9725
2	69	9171
3	89	8882
4	108	8609
5	131	8653
6	155	8740
7	199	9764
8	242	10542
9	264	10308
10	290	10255
11	311	10086
12	333	9929
13	354	9774
14	375	9639
15	396	9524
16	417	9413
17	439	9328
18	459	9221
19	481	9144
20	503	9081
21	527	9062
22	549	9005
23	572	8962
24	596	8953
25	618	8895
26	638	8827
27	659	8762
28	682	8737
29	705	8695
30	724	8622
31	753	8664
32	798	8877
33	819	8825
34	839	8752
35	859	8692
36	880	8634
37	901	8590
38	923	8548
39	952	8573
40	974	8532
41	1002	8546
42	1037	8616
43	1056	8551
44	1079	8516
45	1099	8464
46	1121	8424
47	1143	8382
48	1163	8336
49	1193	8353
50	1227	8399
51	1248	8354
52	1266	8291
53	1288	8254
54	1310	8219
55	1331	8181
56	1352	8141
57	1374	8107
58	1395	8063
59	1415	8021
60	1436	7982
61	1457	7943
62	1476	7900
63	1495	7850
64	1515	7808
65	1535	7771
66	1557	7740
67	1579	7710
68	1600	7679
69	1623	7651
70	1643	7616
71	1666	7589
72	1689	7568
73	1708	7524
74	1730	7500
75	1747	7450
76	1773	7438
77	1791	7395
78	1808	7348
79	1830	7322
80	1848	7280
81	1865	7235
82	1883	7195
83	1899	7147
84	1920	7118
85	1939	7081
86	1958	7046
87	1978	7016
88	2002	6995
89	2023	6969
90	2043	6938
91	2062	6905
92	2081	6870
93	2098	6831
94	2115	6791
95	2131	6750
96	2147	6709
97	2164	6669
98	2183	6638
99	2202	6606
100	2219	6570
101	2236	6534
102	2253	6498
103	2270	6461
104	2290	6434
105	2313	6415
106	2335	6395
107	2356	6371
108	2373	6336
109	2389	6300
110	2405	6262
111	2422	6228
112	2459	6246
113	2503	6279
114	2522	6251
115	2542	6224
116	2558	6189
117	2576	6158
118	2595	6128
119	2611	6092
120	2627	6059
121	2645	6028
122	2662	5995
123	2680	5967
124	2699	5939
125	2718	5911
126	2736	5881
127	2753	5851
128	2775	5831
129	2794	5803
130	2816	5784
131	2835	5756
132	2852	5726
133	2870	5697
134	2886	5666
135	2908	5646
136	2946	5656
137	2985	5667
138	3011	5654
139	3031	5629
140	3049	5601
141	3066	5572
142	3084	5543
143	3102	5514
144	3122	5490
145	3140	5464
146	3158	5435
147	3174	5405
148	3191	5376
149	3208	5347
150	3225	5319
151	3243	5291
152	3261	5265
153	3276	5233
154	3293	5205
155	3309	5176
156	3327	5150
157	3346	5125
158	3365	5101
159	3383	5074
160	3400	5048
161	3417	5020
162	3433	4992
163	3451	4966
164	3469	4942
165	3487	4916
166	3506	4891
167	3523	4866
168	3541	4840
169	3557	4812
170	3574	4787
171	3591	4761
172	3609	4735
173	3627	4711
174	3643	4684
175	3665	4665
176	3682	4639
177	3698	4613
178	3714	4586
179	3732	4562
180	3749	4536
181	3769	4515
182	3789	4493
183	3805	4466
184	3823	4443
185	3840	4418
186	3857	4393
187	3874	4368
188	3891	4344
189	3911	4323
190	3932	4303
191	3949	4279
192	3966	4254
193	3987	4234
194	4013	4219
195	4032	4196
196	4051	4174
197	4072	4154
198	4090	4131
199	4108	4108
200	4127	4086
